org_nr,navn,bransje,ansatte,omsetning_mnok,netto_margin,egenkapital_pct,gjeldsgrad,likviditetsgrad,ebitda_margin,driftsmargin,rentedekningsgrad,score,rating,pd_pct,z_score,z_rating,risikoindikatorere
979952228,WITSØ MASKIN AS,Spesialisert byggevirksomhet i forbindelse med anleggsarbeid,13.0,62.884995355393144,3.585207096486446,47.715328071510385,0.7484544784612038,126.80463188468325,6.297589129152458,8.737638446522174,6.418586822882272,85,A – Lav risiko,6.68,1.31,Faresone (Z < 1.81),Høy gjeldsgrad (>65%)
927067331,SØRUM DRIFT AS,Eiendomsforvaltning på oppdrag,6.0,1.9578842109757186,13.627680130757895,31.048734607813067,0.4501405369644615,143.4686795048112,9.260159266026607,6.825246502460901,3.094281176897568,100,A – Lav risiko,5.06,0.92,Faresone (Z < 1.81),
920688152,BALTVAKS AS,"Tjenester tilknyttet fiske, fangst og akvakultur",13.0,2.8716887966557625,5.442741997785822,24.37963886718184,0.30815444479970633,186.2977069122544,6.822671098540393,4.702584614063771,0.9381295344663583,100,A – Lav risiko,23.86,0.88,Faresone (Z < 1.81),
933964450,PIA KAFE OG SPISERI AS,Drift av restauranter,7.0,3.7735800604459815,4.332767769129598,20.735096338665457,0.5763547027518509,113.97764585284182,6.12491875062017,2.1948801633118094,9.130695461272344,95,A – Lav risiko,8.33,0.47,Faresone (Z < 1.81),Svak likviditetsgrad (<1.2)
917338884,OLA RAMSLAND & SØNNER AS,Godstransport på vei,14.0,34.66256938155165,-0.17313278686770106,50.338173681547836,0.3368734525043467,142.31022582516644,0.1209896283606735,-0.9845581466952913,4.992153089672809,60,B – Moderat risiko,81.33,1.12,Faresone (Z < 1.81),Negativt nettoresultat; Negativt driftsresultat
941982824,KIMEK AS,Reparasjon og vedlikehold av sivile skip og båter,75.0,184.99626475989902,4.514104843569911,36.265275764176394,0.4748344456616067,83.25173033714003,4.840467374815875,2.618083687120637,7.142805565547289,85,A – Lav risiko,21.18,0.67,Faresone (Z < 1.81),Likviditetsgrad under 1.0
930919403,UNGANA AS,Bedriftsrådgivning og annen administrativ rådgivning,9.0,15.373419474821537,4.710879533911799,42.86125954092192,0.46223765793755256,111.30772998929145,14.835028866522604,13.092998567487854,6.828200297790497,95,A – Lav risiko,5.86,1.27,Faresone (Z < 1.81),Svak likviditetsgrad (<1.2)
927237407,BOLLI MOTOR AS,Reparasjon og vedlikehold av motorvogner,5.0,1.0,3.072362872446356,42.96895147105346,0.6663317690683539,118.22890167541485,6.4430230700085485,0.6809950779819154,1.509483439798323,70,B – Moderat risiko,11.19,0.88,Faresone (Z < 1.81),Høy gjeldsgrad (>65%); Svak driftsmargin (<2%); Svak likviditetsgrad (<1.2)
976267036,LOS ØLVE ELEKTRO AS,Elektrisk installasjonsarbeid,11.0,42.62556809267235,8.068720085712469,36.91984817629499,0.6705299346838036,147.65726087666718,5.064640736184627,5.084186816525242,8.345091416164923,85,A – Lav risiko,4.85,0.99,Faresone (Z < 1.81),Høy gjeldsgrad (>65%)
917890617,LAYER BYRÅ AS,Pr og kommunikasjonstjenester,21.0,46.46182713958107,8.693930967442018,5.0,0.6432853756562836,138.046647388336,6.102977948602398,4.275282329606507,0.3,80,A – Lav risiko,49.97,0.39,Faresone (Z < 1.81),Meget lav egenkapitalandel (<10%)
